Country,Total Users,Unicef Users,Last month Users,Last month Unicef Users
Afghanistan,484,401,45,45
Angola,72,72,2,2
Bangladesh,378,270,71,71
Bolivia,49,49,2,2
Burkina Faso,246,103,26,26
Cambodia,124,111,0,0
Cameroon,132,132,1,1
Chad,186,186,1,1
China,118,118,2,2
Cote D'Ivoire,123,123,1,1
Djibouti,47,29,6,6
DRC,468,468,0,0
ESARO,134,128,1,1
Ethiopia,424,400,4,4
FRG,17,5,2,0
Geneva PFP,198,197,0,0
Guinea,201,157,56,56
Haiti,115,115,0,0
India,432,432,0,0
Indonesia,257,167,37,37
Iraq,445,240,94,93
Jamaica,22,15,2,2
Jordan,341,198,10,10
Kazakhstan,43,31,1,1
Kenya,277,216,4,4
Kyrgyzstan,61,53,17,17
LACRO,78,78,0,0
Lao PDR,60,59,13,13
Lebanon,713,373,148,148
Liberia,154,120,4,4
Libya,68,38,8,7
Madagascar,269,226,65,65
Malawi,248,160,20,20
Mali,250,194,65,65
MENARO,159,136,1,1
Mozambique,144,142,0,0
Myanmar,320,247,43,43
Nepal,328,271,58,58
Niger,178,178,34,34
Nigeria,559,464,135,135
Pacific Islands,92,92,10,10
Pakistan,391,348,3,3
Palestine,141,88,7,7
Philippines,130,127,1,1
ROSA,56,56,0,0
Rwanda,141,84,2,2
Senegal,107,82,28,28
Sierra Leone,278,197,38,38
Somalia,332,319,6,6
South Africa,104,53,29,29
South Sudan,480,393,36,36
Sri Lanka,71,71,1,1
Sudan,541,342,92,92
Syria,482,294,41,41
Syria Cross Border,321,45,20,17
Tanzania,187,143,16,16
Tunisia,27,27,0,0
Turkey,152,120,20,20
Uganda,295,205,17,17
WCARO,121,121,0,0
Yemen,275,248,12,12
Zambia,106,106,0,0
Zimbabwe,185,133,5,5
